numeration,mjd_median_atm,mjd_median_moc,u_mag_median_moc,g_mag_median_moc,r_mag_median_moc,i_mag_median_moc,z_mag_median_moc,H_corr_median_moc,V_mag_median_moc,pv_moc,pv_atm,r_au_median_atm,r_au_median_moc,alpha_deg_median_atm,alpha_deg_median_moc,logD_atm
10007,55215.8926015,52911.23105,18.62,17.11,16.64,16.47,16.42,11.93,16.83,0.04820195808984267,0.052,3.0672819007855,3.321,18.641,5.23,4.395992640554209
10013,55210.232086,53622.330400000006,19.845,18.195,17.75,17.615000000000002,17.634999999999998,13.945,17.924999999999997,0.05113454440572078,0.052,2.168191701871,2.6630000000000003,26.92155,10.305,3.9801677855121196
1007,55350.724462,52932.669825,17.425,15.705,15.08,14.835,14.745000000000001,11.305,15.335,0.15968682554260658,0.076,2.988694127935,2.42,19.7597,17.17,4.260890437182077
10111,55211.091494,53616.44665,19.23,17.44,16.73,16.51,16.62,12.369999999999997,17.02,0.17990876583075482,0.203,2.5812463455029997,2.583,22.3534,21.05,4.021998818783075
101286,55331.97399,52555.339570000004,19.415,18.005000000000003,17.505000000000003,17.475,17.445,15.895000000000001,17.7,0.059742054185592634,0.052,1.877976833887,1.9785,32.5755,3.96,3.5563849052357774
101811,55292.249494,53683.251955,20.485,18.84,18.175,18.03,18.125,14.954999999999998,18.450000000000003,0.23571397876197664,0.203,1.6625505200709998,2.2145,36.8602,18.64,3.446332311616988
10195,55288.60909499999,52705.26552,19.81,18.14,17.43,17.21,17.24,12.59,17.72,0.14639131923485235,0.203,2.8688388798465,3.2460000000000004,20.3923,10.68,4.022767318675049
1020,55396.796986,53616.29591,18.6,16.92,16.15,15.97,16.06,12.32,16.47,0.2011012437834471,0.203,2.8869797069989995,2.866,20.6121,5.4,4.007817602614482
102085,55295.259066,52313.24647,22.28,20.86,20.43,20.38,20.34,14.700000000000003,20.6,0.05749090511672668,0.052,2.4927609845810004,4.004,23.6893,5.44,3.8037254079025278
10226,55267.633107999995,53288.18504,18.68,17.28,16.81,16.76,16.66,13.030000000000001,16.99,0.04984235507717579,0.052,2.748143800457,2.472,21.0988,14.93,4.168725703554799
1024,55319.503983,51258.394060000006,18.21,16.68,16.155,16.009999999999998,15.954999999999998,10.965,16.365000000000002,0.04209000579922077,0.052,2.577642587294,3.4705000000000004,23.02295,9.364999999999998,4.6184354881498635
10262,55222.6092355,52619.48725,20.48,18.76,18.15,17.92,17.9,12.559999999999999,18.4,0.14717250855939407,0.203,2.4933691532525,3.0980000000000003,23.2002,18.34,4.027611634692019
