MJD WL
60513.09581 0.9806
60513.09581 3.3065
60513.09725 0.9581
60513.09725 3.2186
60513.09869 0.9362
60513.09869 3.133
60513.10013 0.9148
60513.10013 3.0496
60514.0548 0.8936
60514.0548 2.9678
60514.05624 0.8732
60514.05624 2.8888
60514.05768 0.8532
60514.05768 2.8119
60514.05912 0.8337
60514.05912 2.7371
60515.76744 0.8143
60515.76744 2.6631
60515.76888 0.7956
60515.76888 2.5923
60515.77032 0.7774
60515.77032 2.5233
60515.97721 1.1107
60515.97721 3.8226
60515.97865 1.0853
60515.97865 3.7209
60516.18071 1.4541
60516.18071 4.2257
60516.18215 1.4209
60516.18215 4.1894
60516.1836 1.3885
60516.1836 4.1534
60516.18504 1.3569
60516.18504 4.1178
60516.31667 0.7595
60516.31667 2.4559
60516.31811 0.7421
60516.31811 2.3905
60517.2101 1.0602
60517.2101 3.621
60517.21154 1.0359
60517.21154 3.5247
60517.21298 1.0122
60517.21298 3.4309
60517.21442 0.989
60517.21442 3.3396
60517.27621 1.3255
60517.27621 4.0819
60517.27765 1.2953
60517.27765 4.0469
60517.2791 1.2657
60517.2791 4.0121
60517.28054 1.2369
60517.28054 3.9776
60517.75592 1.2085
60517.75592 3.9433
60517.75736 1.1809
60517.75736 3.9094
60518.3039 1.1538
60518.3039 3.8756
60518.30534 1.1275
60518.30534 3.8423
60518.30678 1.1018
60518.30678 3.8093
60518.37298 1.6462
60518.37298 4.4263
60518.37442 1.6087
60518.37442 4.3883
60518.37586 1.572
60518.37586 4.3507
60518.3773 1.5361
60518.3773 4.3133
60518.51028 2.1599
60518.51028 4.8231
60518.51172 2.111
60518.51172 4.7882
60518.51316 2.0632
60518.51316 4.7536
60518.5146 2.0165
60518.5146 4.7192
60519.60634 1.9702
60519.60634 4.6846
60519.94964 1.5005
60519.94964 4.2756
60519.95108 1.4663
60519.95108 4.2389
60520.29299 1.9252
60520.29299 4.6503
60520.29443 1.8816
60520.29443 4.6167
60520.29588 1.839
60520.29588 4.5833
60520.29732 1.7974
60520.29732 4.5502
60520.98362 2.4425
60520.98362 5.0148
60521.2516 1.7561
60521.2516 4.5169
60521.25304 1.7164
60521.25304 4.4842
60521.25448 1.6775
60521.25448 4.4518
60521.25592 1.6396
60521.25592 4.4196
60521.86918 2.1598
60521.86918 4.823
60521.87062 2.1111
60521.87062 4.7883
60521.87206 2.0635
60521.87206 4.7538
60521.8735 2.017
60521.8735 4.7196
60521.93734 2.3866
60521.93734 4.9781
60521.93878 2.3326
60521.93878 4.9421
60521.94022 2.2798
60521.94022 4.9064
60521.94167 2.2282
60521.94167 4.8709
60522.62209 1.9717
60522.62209 4.6857
60523.17102 1.9273
60523.17102 4.652
60523.17246 1.8839
60523.17246 4.6185
60523.1739 1.8414
60523.1739 4.5853
60523.17534 1.7999
60523.17534 4.5522
60523.30752 2.1769
60523.30752 4.8351
60523.99268 1.7198
60523.99268 4.487
60523.99412 1.6811
60523.99412 4.4547
60523.99556 1.6432
60523.99556 4.4227
60524.82012 2.4436
60524.82012 5.0155
60525.29856 2.3886
60525.29856 4.9794
60525.3 2.3347
60525.3 4.9436
60525.30144 2.2821
60525.30144 4.908
60525.30288 2.2307
60525.30288 4.8726
60526.52984 1.7598
60526.52984 4.5198
60526.59781 2.1805
60526.59781 4.8376
60714.92388 1.7619
60714.92388 4.5215
60714.92532 1.8029
60714.92532 4.5546
60714.92676 1.8448
60714.92676 4.5879
60714.9282 1.8877
60714.9282 4.6215
60716.36403 1.9299
60716.36403 4.654
60716.36547 1.9748
60716.36547 4.688
60716.36691 2.0208
60716.36691 4.7223
60716.36835 2.0678
60716.36835 4.7569
60717.52582 2.1143
60717.52582 4.7906
60717.52726 2.1635
60717.52726 4.8256
60717.5287 2.2138
60717.5287 4.8609
60717.53014 2.2653
60717.53014 4.8965
60717.80321 1.1963
60717.80321 3.9284
60717.80465 1.2242
60717.80465 3.9624
60717.80609 1.2528
60717.80609 3.9968
60717.80753 1.2821
60717.80753 4.0314
60718.96533 2.3159
60718.96533 4.9309
60718.96677 2.3698
60718.96677 4.967
60718.96821 2.4249
60718.96821 5.0033
60719.37932 1.6246
60719.37932 4.4067
60719.38076 1.6624
60719.38076 4.439
60719.38221 1.7011
60719.38221 4.4715
60719.44709 1.3106
60719.44709 4.0646
60719.44853 1.3412
60719.44853 4.0999
60719.44997 1.3725
60719.44997 4.1354
60719.45141 1.4045
60719.45141 4.1713
60720.40411 1.7395
60720.40411 4.5032
60720.40591 1.4364
60720.40591 4.2064
60720.40735 1.4699
60720.40735 4.2428
60720.40879 1.5042
60720.40879 4.2796
60720.41023 1.5394
60720.41023 4.3167
60720.95025 0.8125
60720.95025 2.6565
60720.95169 0.8315
60720.95169 2.7288
60720.95313 0.8509
60720.95313 2.8031
60720.95457 0.8708
60720.95457 2.8795
60721.50001 1.5741
60721.50001 4.3529
60721.50145 1.6109
60721.50145 4.3906
60721.50289 1.6485
60721.50289 4.4286
60722.52914 1.1022
60722.52914 3.8099
60722.53058 1.1279
60722.53058 3.8429
60722.53202 1.1543
60722.53202 3.8762
60722.5954 0.8899
60722.5954 2.9535
60722.59684 0.9107
60722.59684 3.0339
60722.59828 0.932
60722.59828 3.1166
60722.59973 0.9538
60722.59973 3.2015
60722.86996 1.1809
60722.86996 3.9094
60722.87176 0.9758
60722.87176 3.2878
60722.8732 0.9986
60722.8732 3.3774
60722.87464 1.0219
60722.87464 3.4694
60722.87608 1.0458
60722.87608 3.5639
60723.76258 0.8121
60723.76258 2.6548
60723.76402 0.8309
60723.76402 2.7267
60723.76546 0.8502
60723.76546 2.8006
60723.7669 0.87
60723.7669 2.8765
60724.03641 1.0692
60724.03641 3.657
60724.03785 1.0942
60724.03785 3.7566
60724.03929 1.1197
60724.03929 3.8589
60724.44394 0.89
60724.44394 2.9535
60724.44538 0.9106
60724.44538 3.0335
60724.44682 0.9318
60724.44682 3.1157
60724.44826 0.9534
60724.44826 3.2001
60729.92857 0.7453
60729.92857 2.4023
60729.93001 0.7627
60729.93001 2.4678
60729.93145 0.7805
60729.93145 2.5351
60730.54172 0.7983
60730.54172 2.6024
60884.88206 1.0574
60884.88206 3.6102
60884.8835 1.0333
60884.8835 3.5145
60884.88494 1.0098
60884.88494 3.4213
60884.88638 0.9867
60884.88638 3.3306
60886.45913 0.9637
60886.45913 3.2404
60886.46057 0.9417
60886.46057 3.1544
60886.46201 0.9202
60886.46201 3.0708
60886.46346 0.8992
60886.46346 2.9894
60892.07183 0.8773
60892.07183 2.9046
60892.07328 0.8573
60892.07328 2.8275
60892.07472 0.8377
60892.07472 2.7525
60892.07616 0.8186
60892.07616 2.6795
60892.34653 1.5686
60892.34653 4.3472
60892.34797 1.533
60892.34797 4.31
60892.34941 1.4982
60892.34941 4.2732
60892.35085 1.4642
60892.35085 4.2366
60892.55103 1.4309
60892.55103 4.2003
60892.55247 1.3984
60892.55247 4.1644
60892.55391 1.3666
60892.55391 4.1288
60893.3738 1.3353
60893.3738 4.0932
60893.37524 1.305
60893.37524 4.0582
60893.37668 1.2753
60893.37668 4.0235
60893.37813 1.2464
60893.37813 3.9891
60893.98914 1.2179
60893.98914 3.9547
60893.99058 1.1902
60893.99058 3.9209
60893.99202 1.1632
60893.99202 3.8874
60893.99346 1.1368
