MJD WL
60572.69456 1.9619
60572.69456 4.6783
60572.696 2.0076
60572.696 4.7125
60572.69744 2.0543
60572.69744 4.7471
60572.69888 2.1022
60572.69888 4.7818
60573.44858 2.1504
60573.44858 4.8163
60573.45002 2.2004
60573.45002 4.8516
60573.45146 2.2517
60573.45146 4.8871
60573.4529 2.3041
60573.4529 4.9229
60575.16127 1.6147
60575.16127 4.3982
60575.16271 1.6523
60575.16271 4.4305
60575.16415 1.6908
60575.16415 4.4629
60575.16559 1.7302
60575.16559 4.4956
60575.36547 2.3556
60575.36547 4.9575
60575.36691 2.4104
60575.36691 4.9938
60575.91361 1.3284
60575.91361 4.0853
60575.91505 1.3595
60575.91505 4.1208
60575.91649 1.3914
60575.91649 4.1566
60575.91793 1.424
60575.91793 4.1927
60581.05374 1.7655
60581.05374 4.5244
60581.05518 1.8066
60581.05518 4.5576
60581.05662 1.8487
60581.05662 4.591
60581.05806 1.8917
60581.05806 4.6246
60581.53161 1.4536
60581.53161 4.2251
60581.53305 1.4876
60581.53305 4.2618
60581.53449 1.5224
60581.53449 4.2989
60581.53593 1.5581
60581.53593 4.3362
60581.73857 1.9352
60581.73857 4.658
60582.07996 1.0905
60582.07996 3.7947
60582.08141 1.116
60582.08141 3.8276
60582.08285 1.1421
60582.08285 3.8609
60582.08429 1.1689
60582.08429 3.8944
60582.21691 1.5941
60582.21691 4.3734
60582.21835 1.6314
60582.21835 4.4114
60582.97109 0.8968
60582.97109 2.9801
60582.97253 0.9179
60582.97253 3.0616
60582.97398 0.9394
60582.97398 3.1453
60582.97542 0.9614
60582.97542 3.2314
60583.24765 1.1956
60583.24765 3.9275
60583.24909 1.2236
60583.24909 3.9616
60583.25053 1.2522
60583.25053 3.9961
60583.25198 1.2816
60583.25198 4.0308
60583.86407 0.9836
60583.86407 3.3182
60583.86551 1.0066
60583.86551 3.409
60583.86696 1.0302
60583.86696 3.5022
60583.8684 1.0544
60583.8684 3.598
60584.33987 1.3109
60584.33987 4.0651
60584.48015 0.7549
60584.48015 2.4384
60584.48159 0.7726
60584.48159 2.5051
60584.48303 0.7907
60584.48303 2.5736
60584.54956 1.0788
60584.54956 3.695
60584.551 1.104
60584.551 3.7961
60585.91805 0.8087
60585.91805 2.642
60585.91949 0.8277
60585.91949 2.7142
60585.92093 0.8471
60585.92093 2.7885
60585.92237 0.8669
60585.92237 2.8647
60586.67446 0.887
60586.67446 2.9419
60746.46191 0.9138
60746.46191 3.0457
60746.46335 0.8929
60746.46335 2.9648
60746.46479 0.8724
60746.46479 2.886
60746.46623 0.8525
60746.46623 2.8093
60747.14827 0.8328
60747.14827 2.7339
60747.14971 0.8138
60747.14971 2.6612
60747.15115 0.7952
60747.15115 2.5905
60747.15259 0.777
60747.15259 2.5217
60747.83179 0.759
60747.83179 2.454
60747.83323 0.7417
60747.83323 2.3888
60747.9738 1.1093
60747.9738 3.8171
60747.97524 1.0839
60747.97524 3.7157
60747.97668 1.0592
60747.97668 3.617
60748.51922 1.3858
60748.51922 4.1504
60748.52066 1.3543
60748.52066 4.1148
60748.5221 1.3235
60748.5221 4.0796
60748.52354 1.2933
60748.52354 4.0446
60749.13494 1.0345
60749.13494 3.5193
60749.13638 1.0109
60749.13638 3.4258
60749.13783 0.9878
60749.13783 3.3347
60749.13927 0.9652
