MJD WL
60621.30385 0.8676
60621.30385 2.8674
60621.30529 0.8478
60621.30529 2.7914
60621.30673 0.8285
60621.30673 2.7174
60621.30818 0.8096
60621.30818 2.6454
60622.74196 0.7863
60622.74196 2.5571
60622.74341 0.7684
60622.74341 2.4894
60622.74485 0.7509
60622.74485 2.4235
60622.81751 0.8904
60622.81751 2.9551
60627.40269 1.126
60627.40269 3.8839
60627.40413 1.1004
60627.40413 3.7814
60627.40557 1.0754
60627.40557 3.6816
60627.40701 1.051
60627.40701 3.5844
60627.60726 0.8423
60627.60726 2.7702
60627.6087 0.8231
60627.6087 2.6967
60627.61014 0.8043
60627.61014 2.6252
60628.0873 1.0245
60628.0873 3.4796
60628.08874 1.0012
60628.08874 3.3878
60628.09018 0.9785
60628.09018 3.2984
60628.09162 0.9563
60628.09162 3.2113
60628.29209 0.7827
60628.29209 2.5433
60628.29353 0.7648
60628.29353 2.4758
60628.29497 0.7474
60628.29497 2.4102
60629.86976 1.1067
60629.86976 3.8067
60629.87121 1.0814
60629.87121 3.7057
60629.87265 1.0567
60629.87265 3.6073
60629.87409 1.0326
60629.87409 3.5115
60630.7598 1.0038
60630.7598 3.3978
60630.76124 0.9808
60630.76124 3.3075
60630.76269 0.9584
60630.76269 3.2196
60630.89575 1.2136
60630.89575 3.9496
60630.89719 1.1859
60630.89719 3.9156
60630.89863 1.1588
60630.89863 3.8819
60630.90007 1.1323
60630.90007 3.8485
60631.17007 0.9343
60631.17007 3.1254
60631.17151 0.9129
60631.17151 3.0423
60631.17295 0.892
60631.17295 2.9615
60631.17439 0.8716
60631.17439 2.8828
60631.65083 1.6102
60631.65083 4.3899
60631.65227 1.5734
60631.65227 4.3521
60632.12928 1.099
60632.12928 3.8058
60632.5403 1.5302
60632.5403 4.307
60632.54175 1.4952
60632.54175 4.2699
60632.54319 1.461
60632.54319 4.2332
60632.54463 1.4276
60632.54463 4.1967
60632.74522 0.8439
60632.74522 2.7764
60632.74667 0.8246
60632.74667 2.7026
60633.84244 1.7666
60633.84244 4.5254
60633.84388 1.7264
60633.84388 4.4925
60633.84532 1.6871
60633.84532 4.4598
60633.84676 1.6487
60633.84676 4.4274
60633.97952 1.3845
60633.97952 4.1489
60633.98096 1.3528
60633.98096 4.1132
60633.9824 1.3219
60633.9824 4.0777
60633.98385 1.2916
60633.98385 4.0426
60634.73316 2.3955
60634.73316 4.984
60634.7346 2.341
60634.7346 4.9477
60634.73604 2.2877
60634.73604 4.9118
60634.86924 1.2563
60634.86924 4.001
60634.87068 1.2276
60634.87068 3.9665
60634.87212 1.1995
60634.87212 3.9323
60635.14425 2.2314
60635.14425 4.8732
60635.14569 2.1806
60635.14569 4.8377
60635.14713 2.131
60635.14713 4.8025
60635.14857 2.0825
60635.14857 4.7676
60637.20151 2.0168
60637.20151 4.7194
60637.20295 1.9709
60637.20295 4.6851
60637.20439 1.926
60637.20439 4.651
60637.20583 1.8822
60637.20583 4.6172
60638.22709 1.8317
60638.22709 4.5775
60638.22854 1.79
60638.22854 4.5443
60638.22998 1.7492
60638.22998 4.5112
60889.23493 2.3253
60889.23493 4.9372
60889.23637 2.3794
60889.23637 4.9734
60889.23781 2.4348
60889.23781 5.0098
60889.84979 1.6308
60889.84979 4.412
60889.85123 1.6687
60889.85123 4.4443
60889.85267 1.7076
60889.85267 4.4769
60894.16424 1.7456
60894.16424 4.5082
60894.16568 1.7863
60894.16568 4.5413
60894.16712 1.8279
60894.16712 4.5745
60894.16856 1.8704
60894.16856 4.608
60895.94485 1.914
60895.94485 4.6418
60895.94629 1.9586
60895.94629 4.6758
60895.94773 2.0042
60895.94773 4.7101
60895.94918 2.0509
60895.94918 4.7446
60896.08285 1.614
60896.08285 4.3938
60896.35693 1.1044
60896.35693 3.8127
60896.35837 1.1302
60896.35837 3.8458
60896.35981 1.1567
60896.35981 3.8792
60897.38275 2.099
60897.38275 4.7795
60897.38419 2.1479
60897.38419 4.8146
60897.38563 2.1979
60897.38563 4.8498
60897.38707 2.2491
60897.38707 4.8853
60897.65697 1.1845
60897.65697 3.9139
60897.65841 1.2123
60897.65841 3.9479
60897.65985 1.2406
60897.65985 3.9822
60897.66129 1.2697
60897.66129 4.0168
60897.86305 1.0717
60897.86305 3.6668
60897.86449 1.0968
60897.86449 3.7669
60898.82136 1.3001
60898.82136 4.0525
60898.8228 1.3306
60898.8228 4.0877
60898.82425 1.3617
60898.82425 4.1232
60898.82569 1.3936
60898.82569 4.159
60899.23251 0.7868
60899.23251 2.5588
60899.23395 0.8052
60899.23395 2.6286
60899.23539 0.824
60899.23539 2.7004
60899.23683 0.8433
60899.23683 2.7741
60899.43785 1.4266
60899.43785 4.1957
60899.43929 1.46
60899.43929 4.2321
60899.44073 1.4941
60899.44073 4.2688
60899.44217 1.5291
60899.44217 4.3059
60899.84832 0.8635
60899.84832 2.8516
60899.84976 0.8837
60899.84976 2.9295
60899.8512 0.9044
60899.8512 3.0095
60899.85265 0.9256
60899.85265 3.0916
60900.0533 2.3025
60900.0533 4.9218
60905.39494 0.9514
60905.39494 3.1922
60905.39638 0.9736
60905.39638 3.2792
60905.39782 0.9964
60905.39782 3.3686
60905.39926 1.0196
60905.39926 3.4604
60905.53056 1.5845
60905.53056 4.3636
60906.76173 0.8115
60906.76173 2.6525
60906.76317 0.8303
60906.76317 2.7243
60906.76461 0.8496
60906.76461 2.7981
60906.76605 0.8693
60906.76605 2.8739
60907.24306 1.5711
60907.24306 4.3498
60907.85982 0.7566
60907.85982 2.4448
60907.86126 0.7743
60907.86126 2.5114
60908.74926 1.0457
60908.74926 3.5636
60908.7507 1.0701
60908.7507 3.6606
60909.64009 0.8894
60909.64009 2.9512
60909.64153 0.91
60909.64153 3.0312
60909.64297 0.9312
60909.64297 3.1134
60909.64441 0.9528
60909.64441 3.1978
60910.0504 0.975
60910.0504 3.2846
60910.05184 0.9977
60910.05184 3.3736
60910.05329 1.0208
60910.05329 3.4651
60910.05473 1.0446
60910.05473 3.559
60910.94155 1.069
60910.94155 3.656
61051.79639 0.8489
