MJD WL
60715.74952 1.7801
60715.74952 4.5363
60715.75096 1.8214
60715.75096 4.5694
60715.7524 1.8637
60715.7524 4.6027
60715.75384 1.9069
60715.75384 4.6363
60717.05145 1.8943
60717.05145 4.6266
60717.05289 1.9381
60717.05289 4.6602
60717.05434 1.9829
60717.05434 4.6941
60717.05578 2.0287
60717.05578 4.7282
60719.03725 1.6447
60719.03725 4.4239
60719.03869 1.6828
60719.03869 4.4562
60719.04013 1.7218
60719.04013 4.4887
60719.04157 1.7618
60719.04157 4.5214
60719.86013 1.7579
60719.86013 4.5183
60719.86157 1.7988
60719.86157 4.5513
60719.86301 1.8405
60719.86301 4.5846
60719.86445 1.8833
60719.86445 4.6181
60720.88715 1.5499
60720.88715 4.3277
60720.88859 1.586
60720.88859 4.3651
60720.89003 1.6229
60720.89003 4.4028
60721.84703 1.6618
60721.84703 4.442
60722.32588 1.7936
60722.32588 4.5471
60722.32732 1.8353
60722.32732 4.5804
60722.32876 1.8779
60722.32876 4.6139
60722.3302 1.9216
60722.3302 4.6476
60723.35331 1.9113
60723.35331 4.6397
60723.35475 1.9557
60723.35475 4.6736
60723.3562 2.0011
60723.3562 4.7078
60723.35764 2.0476
60723.35764 4.7422
60723.42288 1.1088
60723.42288 3.8184
60723.42432 1.1346
60723.42432 3.8514
60723.42576 1.1611
60723.42576 3.8847
60724.24443 1.4066
60724.24443 4.1736
60724.24588 1.4394
60724.24588 4.2097
60724.24732 1.473
60724.24732 4.2462
60724.24876 1.5074
60724.24876 4.283
60724.51783 1.1576
60724.51783 3.8804
60724.51927 1.1845
60724.51927 3.9138
60724.52071 1.212
60724.52071 3.9476
60724.52216 1.2402
60724.52216 3.9817
60724.99341 1.5799
60724.99341 4.3589
60724.99485 1.6168
60724.99485 4.3967
60729.03935 1.7469
60729.03935 4.5093
60729.04079 1.7875
60729.04079 4.5423
60730.3415 1.4901
60730.3415 4.2645
60730.34294 1.5248
60730.34294 4.3013
60730.34438 1.5602
60730.34438 4.3385
60730.34582 1.5965
60730.34582 4.3759
60730.75247 1.6161
60730.75247 4.3959
60730.75391 1.6536
60730.75391 4.4338
60730.82265 1.6114
60730.82265 4.3954
60730.88903 1.2534
60730.88903 3.9974
60730.89047 1.2824
60730.89047 4.0318
60730.89191 1.3121
