MJD WL
60617.84981 2.3113
60617.84981 4.9278
60617.85125 2.2587
60617.85125 4.892
60617.85269 2.2073
60617.85269 4.8564
60617.85413 2.1571
60617.85413 4.8211
60618.05604 2.3656
60618.05604 4.9642
60618.05748 2.4207
60618.05748 5.0006
60619.08292 2.1105
60619.08292 4.7879
60619.08436 2.0625
60619.08436 4.753
60619.0858 2.0155
60619.0858 4.7185
60619.08724 1.9696
60619.08724 4.6841
60620.11156 1.6068
60620.11156 4.3864
60620.113 1.6444
60620.113 4.4246
60620.38259 1.9276
60620.38259 4.6522
60620.38404 1.8838
60620.38404 4.6184
60620.38548 1.8409
60620.38548 4.5848
60620.38692 1.799
60620.38692 4.5515
60620.45393 1.5709
60620.45393 4.3496
60620.45537 1.535
60620.45537 4.3121
60620.45681 1.4999
60620.45681 4.275
60620.45825 1.4656
60620.45825 4.2382
60621.54711 1.7606
60621.54711 4.5205
60621.54855 1.7205
60621.54855 4.4876
60621.54999 1.6814
60621.54999 4.455
60621.55143 1.6431
60621.55143 4.4226
60622.02656 1.436
60622.02656 4.206
60622.028 1.4032
60622.028 4.1698
60622.02944 1.3711
60622.02944 4.1338
60622.03088 1.3397
60622.03088 4.0983
60622.84749 1.6087
60622.84749 4.393
60622.98853 1.0729
60622.98853 3.6716
60622.98997 1.0484
60622.98997 3.574
60622.99141 1.0244
60622.99141 3.4791
60622.99285 1.001
60622.99285 3.3867
60623.32821 1.3123
60623.32821 4.0667
60623.32965 1.2823
60623.32965 4.0317
60623.3311 1.253
60623.3311 3.997
60623.33254 1.2244
60623.33254 3.9626
60623.39986 1.099
60623.39986 3.7759
60624.70123 1.1997
60624.70123 3.9326
60624.70267 1.1723
60624.70267 3.8987
60624.70411 1.1455
60624.70411 3.8652
60624.70555 1.1194
60624.70555 3.832
60624.90625 0.9825
60624.90625 3.3141
60624.90769 0.9601
60624.90769 3.2261
60624.90913 0.9381
60624.90913 3.1405
60624.91057 0.9167
60624.91057 3.0571
60625.86193 1.0965
60625.86193 3.8025
60626.20944 1.1098
60626.20944 3.8191
60626.34641 0.899
60626.34641 2.9883
60626.34785 0.8785
60626.34785 2.9091
60626.34929 0.8584
60626.34929 2.8319
60626.35073 0.8388
60626.35073 2.7568
60626.48349 1.0847
60626.48349 3.7186
60626.48493 1.0601
60626.48493 3.6205
60626.48637 1.036
60626.48637 3.525
60626.48781 1.0125
60626.48781 3.432
60627.7803 0.8227
60627.7803 2.6953
60627.78174 0.804
60627.78174 2.6239
60627.78318 0.7856
60627.78318 2.5544
60627.78462 0.7677
60627.78462 2.4868
60627.98981 0.9897
60627.98981 3.3423
60627.99125 0.9672
60627.99125 3.254
60627.99269 0.9452
60627.99269 3.168
60627.99413 0.9237
60627.99413 3.0843
60629.49557 0.903
60629.49557 3.0041
60629.49701 0.8825
60629.49701 2.9246
60629.49845 0.8624
60629.49845 2.8473
60629.49989 0.8428
60629.49989 2.772
60631.00099 0.824
60631.00099 2.7002
60631.00243 0.8052
60631.00243 2.6287
60631.00387 0.7869
60631.00387 2.5591
60631.00531 0.769
60631.00531 2.4914
60632.71412 0.752
60632.71412 2.4276
60769.96174 0.9261
60769.96174 3.0938
60787.01513 0.7682
60787.01513 2.4887
60787.01657 0.7862
60787.01657 2.5567
60787.01801 0.8046
60787.01801 2.6265
60787.01945 0.8235
60787.01945 2.6983
60787.28897 0.7508
60787.28897 2.423
60788.31802 0.8435
60788.31802 2.7747
60788.31947 0.8633
60788.31947 2.8506
60788.32091 0.8835
60788.32091 2.9285
60788.32235 0.9042
60788.32235 3.0085
60788.93262 0.9258
60788.93262 3.0923
60788.93406 0.9475
60788.93406 3.1768
60788.9355 0.9697
60788.9355 3.2637
