MJD WL
60561.04457 1.7358
60561.04457 4.5002
60561.04601 1.7762
60561.04601 4.5332
60561.04746 1.8176
60561.04746 4.5664
60561.0489 1.8599
60561.0489 4.5998
60561.93568 1.8918
60561.93568 4.6247
60561.93712 1.9359
60561.93712 4.6586
60561.93856 1.981
60561.93856 4.6927
60561.94 2.0271
60561.94 4.727
60562.82607 2.062
60562.82607 4.7527
60562.82751 2.11
60562.82751 4.7875
60562.82895 2.1592
60562.82895 4.8226
60562.83039 2.2094
60562.83039 4.8579
60562.96636 1.6237
60562.96636 4.406
60562.9678 1.6615
60562.9678 4.4382
60563.10073 1.1652
60563.10073 3.8898
60563.10217 1.1924
60563.10217 3.9236
60563.10361 1.2203
60563.10361 3.9577
60563.10505 1.2488
60563.10505 3.992
60563.64861 2.2485
60563.64861 4.885
60563.65006 2.3009
60563.65006 4.9207
60563.6515 2.3544
60563.6515 4.9567
60563.65294 2.4092
60563.65294 4.993
60564.19709 1.6882
60564.19709 4.4607
60564.67686 1.2668
60564.67686 4.0133
60564.6783 1.2964
60564.6783 4.0481
60564.67974 1.3266
60564.67974 4.0832
60564.68119 1.3576
60564.68119 4.1186
60565.77345 1.3808
60565.77345 4.1447
60565.77489 1.413
60565.77489 4.1807
60565.77633 1.446
60565.77633 4.2169
60565.77778 1.4798
60565.77778 4.2534
60566.18443 0.78
60566.18443 2.533
60566.18588 0.7982
60566.18588 2.6019
60566.18732 0.8168
60566.18732 2.6727
60566.18876 0.8358
60566.18876 2.7454
60566.2531 1.5102
60566.2531 4.2859
60566.25454 1.5454
60566.25454 4.323
60566.25598 1.5815
60566.25598 4.3604
60566.25742 1.6184
60566.25742 4.3982
60566.52721 0.8539
60566.52721 2.8148
60566.52865 0.8738
60566.52865 2.8913
60566.53009 0.8942
60566.53009 2.97
60566.53153 0.9151
60566.53153 3.0507
60567.89743 1.6403
60567.89743 4.4204
60569.40573 0.7534
60569.40573 2.433
60569.40717 0.771
60569.40717 2.4992
60569.40861 0.789
60569.40861 2.5672
60569.41005 0.8074
60569.41005 2.6371
60570.2972 1.4773
60570.2972 4.2508
60570.29864 1.5116
60570.29864 4.2874
60570.30008 1.5467
60570.30008 4.3244
60570.30152 1.5826
60570.30152 4.3616
60570.98201 1.61
60570.98201 4.3897
60571.73434 0.8107
60571.73434 2.6497
60571.73578 0.8297
60571.73578 2.722
60571.73722 0.8491
60571.73722 2.7962
60571.73866 0.8689
60571.73866 2.8724
60572.21545 0.8858
60572.21545 2.9376
60572.21689 0.9065
60572.21689 3.0177
60572.21833 0.9277
60572.21833 3.1
60572.21977 0.9494
60572.21977 3.1846
60572.90122 0.9663
60572.90122 3.2506
60572.90266 0.9889
60572.90266 3.3393
60572.9041 1.0121
60572.9041 3.4304
60572.90554 1.0357
60572.90554 3.524
60574.88782 1.0431
60574.88782 3.5533
60686.1817 0.9083
60686.1817 3.0245
60686.18314 0.8874
60686.18314 2.9438
60686.18458 0.8671
60686.18458 2.8652
60686.18602 0.8471
60686.18602 2.7887
60686.72943 0.8157
60686.72943 2.6686
60686.73087 0.797
60686.73087 2.5974
60686.73231 0.7787
60686.73231 2.5281
60686.73375 0.7608
60686.73375 2.4607
60686.79772 1.4447
60686.79772 4.2155
60686.79916 1.4116
60686.79916 4.1791
60686.8006 1.3792
60686.8006 4.143
60686.80204 1.3476
60686.80204 4.1072
60687.07908 1.1029
60687.07908 3.7914
60687.41392 1.2948
60687.41392 4.0463
60687.41536 1.2651
60687.41536 4.0114
60687.4168 1.2361
60687.4168 3.9768
60687.41824 1.2078
60687.41824 3.9424
60687.89398 1.0551
60687.89398 3.6008
60687.89543 1.0309
60687.89543 3.5048
60687.89687 1.0072
60687.89687 3.4114
60687.89831 0.9841
60687.89831 3.3204
60688.71579 2.0276
60688.71579 4.7274
60688.71723 1.9814
60688.71723 4.693
60688.71867 1.9362
60688.71867 4.6588
60688.72011 1.892
60688.72011 4.6248
60689.26729 0.9296
60689.26729 3.1072
60689.67639 1.6264
60689.67639 4.4063
60689.67783 1.5892
60689.67783 4.3684
60689.67927 1.5528
60689.67927 4.3308
60689.68071 1.5173
60689.68071 4.2935
60689.88186 1.1077
60689.88186 3.817
60690.43326 2.4064
60690.43326 4.9912
60690.49699 1.7652
60690.49699 4.5242
60690.49843 1.725
60690.49843 4.4913
60690.49987 1.6857
60690.49987 4.4587
60690.50131 1.6474
60690.50131 4.4262
60690.63435 1.4483
60690.63435 4.2194
60690.63579 1.4152
60690.63579 4.1831
60690.63723 1.3829
60690.63723 4.1471
60690.63867 1.3513
60690.63867 4.1114
60692.14141 2.2536
60692.14141 4.8884
60692.14285 2.2024
60692.14285 4.853
60692.14429 2.1523
60692.14429 4.8177
60692.14573 2.1035
60692.14573 4.7828
60692.41894 1.2667
60692.41894 4.0132
60694.1284 1.962
60694.1284 4.6784
60694.12984 1.9176
60694.12984 4.6446
60694.13128 1.8742
60694.13128 4.611
60694.13272 1.8318
60694.13272 4.5776
60694.95207 1.7577
60694.95207 4.5181
60917.72494 1.8743
60917.72494 4.6111
60917.72638 1.9179
60917.72638 4.6448
60917.72782 1.9626
60917.72782 4.6788
60917.72926 2.0083
60917.72926 4.7131
60919.36723 2.0115
60919.36723 4.7155
60919.36868 2.0583
60919.36868 4.75
60919.37012 2.1062
60919.37012 4.7848
60919.37156 2.1552
60919.37156 4.8198
60919.57693 1.6143
60919.57693 4.3979
60919.91644 2.4009
60919.91644 4.9875
60919.98497 2.1877
60919.98497 4.8427
60919.98641 2.2386
60919.98641 4.8781
60919.98785 2.2907
60919.98785 4.9138
60919.98929 2.344
60919.98929 4.9498
60920.80628 1.2257
60920.80628 3.9642
60920.80773 1.2544
60920.80773 3.9986
60920.80917 1.2837
60920.80917 4.0333
60920.81061 1.3138
60920.81061 4.0684
60920.87427 1.6239
60920.87427 4.4061
60920.87571 1.6616
60920.87571 4.4383
60920.87716 1.7002
60920.87716 4.4708
60920.8786 1.7398
60920.8786 4.5034
60921.14862 1.3385
60921.14862 4.0968
60921.15006 1.3698
60921.15006 4.1324
60921.15151 1.4018
60921.15151 4.1682
60921.15295 1.4346
60921.15295 4.2044
60921.90133 1.7561
60921.90133 4.5168
60921.97035 1.4522
60921.97035 4.2237
60921.9718 1.4862
60921.9718 4.2603
60921.97324 1.5209
60921.97324 4.2973
60921.97468 1.5565
60921.97468 4.3346
60922.86152 1.1073
60922.86152 3.8164
60922.86296 1.1331
60922.86296 3.8494
60922.8644 1.1595
60922.8644 3.8827
60923.40818 0.8023
60923.40818 2.6176
60923.40962 0.8211
60923.40962 2.689
60923.41106 0.8403
60923.41106 2.7624
60923.41251 0.8599
60923.41251 2.8378
60923.68286 1.5564
60923.68286 4.3344
60923.6843 1.5927
60923.6843 4.372
60923.68574 1.63
60923.68574 4.41
60924.16164 0.871
60924.16164 2.8803
60924.16308 0.8914
60924.16308 2.9589
60924.16452 0.9122
60924.16452 3.0397
60924.16596 0.9336
60924.16596 3.1226
60925.4623 1.1446
60925.4623 3.864
60926.14721 0.929
60926.14721 3.105
60926.14865 0.9508
60926.14865 3.1897
60926.15009 0.973
60926.15009 3.2768
60926.15153 0.9958
60926.15153 3.3662
60926.96924 1.0071
60926.96924 3.411
60926.97068 1.0307
60926.97068 3.5041
60926.97213 1.0548
60926.97213 3.5998
60926.97357 1.0795
60926.97357 3.698
60928.20165 0.7494
60928.20165 2.4179
60928.6808 1.0774
60928.6808 3.6897
61051.0403 0.9133
61051.0403 3.044
61051.04174 0.8924
61051.04174 2.9629
61051.04318 0.8719
61051.04318 2.8839
61051.04462 0.8519
61051.04462 2.807
61053.16734 1.0953
61053.16734 3.7612
61053.37025 0.8004
61053.37025 2.6103
61053.37169 0.782
61053.37169 2.5407
61053.37314 0.7641
61053.37314 2.473
61053.37458 0.7465
61053.37458 2.407
61054.60072 1.0453
61054.60072 3.5619
61054.60216 1.0213
61054.60216 3.4668
61054.6036 0.9978
61054.6036 3.3744
61054.60504 0.9749
61054.60504 3.2843
61054.8745 1.2616
61054.8745 4.0072
61054.87594 1.2327
61054.87594 3.9727
61054.87739 1.2045
61054.87739 3.9384
61054.87883 1.1769
61054.87883 3.9044
61055.56032 0.9379
61055.56032 3.1397
61055.56176 0.9164
61055.56176 3.0559
61055.5632 0.8954
61055.5632 2.9744
61055.56465 0.8748
61055.56465 2.895
61055.90238 1.6169
61055.90238 4.3967
61055.90383 1.5798
61055.90383 4.3588
61055.90527 1.5437
61055.90527 4.3212
61056.10587 1.1277
61056.10587 3.8425
61056.10731 1.1018
61056.10731 3.8094
61057.2036 0.8327
61057.2036 2.7336
61057.74927 1.4658
61057.74927 4.2384
61057.75071 1.4323
61057.75071 4.2019
61057.75215 1.3995
61057.75215 4.1657
61057.75359 1.3675
61057.75359 4.1297
61057.95435 1.7852
61057.95435 4.5404
61057.95579 1.7446
61057.95579 4.5074
61057.95723 1.7049
61057.95723 4.4747
61057.95867 1.6661
61057.95867 4.4421
61058.84435 2.3479
61058.84435 4.9524
61058.84579 2.2945
61058.84579 4.9164
61058.84723 2.2424
61058.84723 4.8807
61058.84867 2.1914
61058.84867 4.8453
61058.91381 1.313
61058.91381 4.0675
61058.91525 1.2829
61058.91525 4.0324
61058.91669 1.2536
61058.91669 3.9976
61058.91813 1.2249
61058.91813 3.9632
61060.28491 1.1731
61060.28491 3.8997
61060.76313 2.0839
61060.76313 4.7686
61060.76458 2.0366
61060.76458 4.734
61060.76602 1.9903
61060.76602 4.6997
61060.76746 1.9451
61060.76746 4.6656
61062.12963 1.8659
61062.12963 4.6045
61062.13107 1.8236
61062.13107 4.5711
61062.13251 1.7822
61062.13251 4.538
61062.13395 1.7418
61062.13395 4.5051
61063.22418 2.0315
61063.22418 4.7303
61063.22562 1.9856
61063.22562 4.6962
61063.22706 1.9408
61063.22706 4.6623
61063.2285 1.897
61063.2285 4.6287
61063.77463 1.6663
61063.77463 4.4422
61069.04662 2.4044
61069.04662 4.9899
61069.04806 2.3498
61069.04806 4.9536
61069.0495 2.2964
61069.0495 4.9177
61069.11156 1.6917
61069.11156 4.4637
61069.113 1.6534
61069.113 4.4313
61069.11445 1.6159
61069.11445 4.3992
61069.5915 2.2269
61069.5915 4.87
