MJD WL
60718.55299 2.2299
60718.55299 4.8721
60718.55443 2.1792
60718.55443 4.8367
60718.55588 2.1296
60718.55588 4.8015
60718.55732 2.0811
60718.55732 4.7666
60719.99 2.0525
60719.99 4.7457
60719.99144 2.0057
60719.99144 4.7112
60719.99288 1.9601
60719.99288 4.6769
60719.99432 1.9155
60719.99432 4.6429
60720.53994 1.8787
60720.53994 4.6145
60720.54139 1.8359
60720.54139 4.5809
60720.54283 1.7942
60720.54283 4.5476
60720.54427 1.7533
60720.54427 4.5146
60721.43104 1.54
60721.43104 4.3174
60721.43248 1.5048
60721.43248 4.2802
60721.43392 1.4704
60721.43392 4.2434
60721.43537 1.4368
60721.43537 4.2069
60721.84342 2.4087
60721.84342 4.9927
60721.84487 2.3539
60721.84487 4.9564
60721.90996 1.7296
60721.90996 4.4951
60721.91141 1.6903
60721.91141 4.4625
60721.91285 1.6519
60721.91285 4.43
60721.91429 1.6143
60721.91429 4.3978
60722.45581 1.415
60722.45581 4.1828
60722.45725 1.3827
60722.45725 4.1469
60722.45869 1.3511
60722.45869 4.1112
60722.46013 1.3202
60722.46013 4.0758
60722.86807 2.3171
60722.86807 4.9317
60723.48551 1.3005
60723.48551 4.053
60723.48695 1.2708
60723.48695 4.0182
60723.48839 1.2418
60723.48839 3.9836
60723.48983 1.2135
60723.48983 3.9494
60724.30704 1.0726
60724.30704 3.6706
60724.30848 1.0482
60724.30848 3.5734
60724.30992 1.0243
60724.30992 3.4787
60724.31136 1.0009
60724.31136 3.3865
60729.58218 1.2484
60729.58218 3.9915
60729.58362 1.22
60729.58362 3.9573
60729.58506 1.1923
60729.58506 3.9235
60729.5865 1.1653
60729.5865 3.8899
60730.33317 1.1463
60730.33317 3.8662
60730.33498 1.5079
60730.33498 4.2835
60730.33642 1.4736
60730.33642 4.2468
60730.33787 1.4401
60730.33787 4.2105
60730.33931 1.4074
60730.33931 4.1745
60730.74593 1.3786
60730.74593 4.1424
60730.74737 1.3473
60730.74737 4.1069
60730.74881 1.3167
60730.74881 4.0717
60730.75025 1.2868
60730.75025 4.0369
60731.49902 1.0971
60731.49902 3.7683
60731.50046 1.072
60731.50046 3.6683
60731.50191 1.0476
60731.50191 3.5709
60731.56667 0.7686
60731.56667 2.4902
60731.56811 0.7511
60731.56811 2.4241
60731.8402 1.2655
60731.8402 4.0118
60731.84164 1.2367
60731.84164 3.9775
60731.84308 1.2086
60731.84308 3.9434
60731.84452 1.1811
60731.84452 3.9096
60732.45758 1.03
60732.45758 3.5014
60732.45902 1.0065
60732.45902 3.4084
60732.46046 0.9835
60732.46046 3.3179
60732.4619 0.961
60732.4619 3.2297
60733.34846 1.1647
60733.34846 3.8893
60733.55463 0.9459
60733.55463 3.1706
60733.55607 0.9242
60733.55607 3.0863
60733.55751 0.9031
60733.55751 3.0043
60733.55895 0.8824
60733.55895 2.9244
60734.6486 0.8686
60734.6486 2.8712
60734.65004 0.8487
60734.65004 2.7949
60734.65148 0.8293
60734.65148 2.7205
60734.65292 0.8103
60734.65292 2.6482
60735.74421 0.7978
60735.74421 2.6005
60892.00815 1.128
60892.00815 3.8921
60892.89542 0.7674
60892.89542 2.4855
60892.89686 0.7854
60892.89686 2.5535
60892.8983 0.8038
60892.8983 2.6233
60892.89974 0.8226
60892.89974 2.695
60893.24077 0.843
60893.24077 2.7729
60893.24221 0.8628
60893.24221 2.8487
60893.24365 0.883
60893.24365 2.9266
60893.24509 0.9037
60893.24509 3.0066
60893.51256 0.9258
60893.51256 3.0925
60893.514 0.9475
60893.514 3.177
60893.99552 0.9715
60893.99552 3.2709
60893.99696 0.9943
60893.99696 3.3603
60893.9984 1.0175
60893.9984 3.4521
60893.99984 1.0414
60893.99984 3.5464
60894.06371 1.1515
60894.06371 3.8727
60894.06515 1.1784
60894.06515 3.9062
60894.06659 1.2058
60894.06659 3.94
60894.06803 1.2339
60894.06803 3.9741
60894.95312 0.7491
60894.95312 2.4167
60894.95457 0.7666
60894.95457 2.4827
60895.08748 1.0703
60895.08748 3.6613
60895.08892 1.0953
60895.08892 3.7612
60895.49791 1.2719
60895.49791 4.0194
60895.49935 1.3015
60895.49935 4.0542
60895.50079 1.3318
60895.50079 4.0892
60896.11487 1.3672
60896.11487 4.1294
60896.11631 1.3989
60896.11631 4.165
60896.11776 1.4315
60896.11776 4.201
60896.1192 1.4648
60896.1192 4.2372
60896.52732 1.502
60896.52732 4.2772
60896.94014 1.1637
60896.94014 3.888
60896.94158 1.1907
60896.94158 3.9215
60896.94303 1.2185
60896.94303 3.9554
60896.94447 1.2468
60896.94447 3.9896
60898.0331 1.2776
60898.0331 4.0261
60898.03454 1.3074
60898.03454 4.061
60898.03598 1.3379
60898.03598 4.0961
60898.03742 1.3691
60898.03742 4.1316
60898.99043 1.403
60898.99043 4.1695
60898.99187 1.4357
60898.99187 4.2056
60898.99331 1.4692
60898.99331 4.2421
60898.99475 1.5035
60898.99475 4.2788
60899.27116 1.104
60899.27116 3.8122
60899.8838 1.7139
60899.8838 4.4821
60899.88524 1.7538
60899.88524 4.5149
60899.88668 1.7946
60899.88668 4.548
60899.88812 1.8364
60899.88812 4.5813
60899.94904 1.5412
60899.94904 4.3186
60899.95048 1.5772
60899.95048 4.356
60899.95192 1.614
60899.95192 4.3938
60899.95336 1.6517
60899.95336 4.4319
60900.29521 1.8812
60900.29521 4.6165
60900.29665 1.925
60900.29665 4.6503
60900.29809 1.9699
60900.29809 4.6843
60900.29953 2.0157
60900.29953 4.7186
60900.42765 1.1317
60900.42765 3.8477
60900.42909 1.1582
60900.42909 3.8811
60901.39118 2.0693
60901.39118 4.758
60901.39262 2.1175
60901.39262 4.7929
60901.39406 2.1668
60901.39406 4.828
60901.3955 2.2173
60901.3955 4.8633
60902.75621 2.2789
60902.75621 4.9058
60902.89753 1.6363
60902.89753 4.4168
60902.89897 1.6744
60902.89897 4.4491
60902.90041 1.7134
60902.90041 4.4817
60902.96576 2.3336
60902.96576 4.9428
60902.9672 2.388
60902.9672 4.979
61135.60754 1.8798
61135.60754 4.6153
61135.60898 1.8372
61135.60898 4.5819
61135.61042 1.7956
61135.61042 4.5487
61135.61186 1.7549
61135.61186 4.5158
61143.55211 2.4376
61143.55211 5.0116
61144.43702 2.3963
61144.43702 4.9845
61144.43846 2.3421
61144.43846 4.9485
61144.4399 2.2891
61144.4399 4.9127
61144.44134 2.2373
61144.44134 4.8772
61145.60156 1.8064
61145.60156 4.5574
61145.603 1.7654
61145.603 4.5244
61145.60444 1.7253
61145.60444 4.4916
61145.60589 1.6862
61145.60589 4.459
61145.87771 2.2078
61145.87771 4.8567
61145.87915 2.1579
61145.87915 4.8217
61145.88059 2.1091
61145.88059 4.7869
61145.88203 2.0615
61145.88203 4.7523
61146.55911 1.6552
61146.55911 4.4329
61146.56055 1.6176
61146.56055 4.4007
61146.7662 1.3407
61146.7662 4.0994
61146.76765 1.3101
61146.76765 4.0641
61146.76909 1.2801
61146.76909 4.0291
61146.77053 1.2508
61146.77053 3.9944
61146.90397 2.0289
61146.90397 4.7284
61147.79063 1.2288
61147.79063 3.9679
61147.79207 1.2007
61147.79207 3.9337
61147.79351 1.1732
61147.79351 3.8998
61147.79495 1.1464
61147.79495 3.8663
61147.85927 2.3887
61147.85927 4.9795
61147.86071 2.3346
61147.86071 4.9435
61147.86215 2.2818
61147.86215 4.9078
61147.86359 2.2302
61147.86359 4.8723
61148.40673 2.1851
61148.40673 4.8408
61148.40818 2.1356
61148.40818 4.8058
61148.40962 2.0873
61148.40962 4.7711
61148.41106 2.0401
61148.41106 4.7366
61148.88704 1.1267
61148.88704 3.8413
61148.88848 1.1009
61148.88848 3.8082
61148.95391 0.9197
61148.95391 3.0686
61148.95535 0.8986
61148.95535 2.9868
61148.95679 0.878
61148.95679 2.9072
61148.95823 0.8578
61148.95823 2.8297
61149.64144 1.621
61149.64144 4.4009
61149.64288 1.584
61149.64288 4.3631
61149.64432 1.5479
61149.64432 4.3256
61150.46062 0.8455
61150.46062 2.7824
61150.46206 0.8261
61150.46206 2.7082
61150.4635 0.8072
61150.4635 2.6361
61150.46494 0.7886
61150.46494 2.5659
61150.73663 1.521
61150.73663 4.2973
61150.73808 1.4862
61150.73808 4.2604
61150.73952 1.4523
61150.73952 4.2237
61150.74096 1.4191
61150.74096 4.1874
61151.55468 0.7755
61151.55468 2.5162
61151.55612 0.7577
61151.55612 2.4492
61151.55756 0.7404
61151.55756 2.3839
61151.89845 1.3951
61151.89845 4.1607
61152.37916 1.1138
61152.37916 3.8351
61152.3806 1.0883
61152.3806 3.733
61152.38204 1.0633
61152.38204 3.6336
61152.99238 1.0425
61152.99238 3.5509
61152.99382 1.0186
61152.99382 3.4563
61152.99526 0.9953
61152.99526 3.3642
61152.9967 0.9725
61152.9967 3.2746
61153.88253 0.9549
61153.88253 3.206
