wavelength reflectivity
0.7500000 1.0138205
0.7682927 1.0130649
0.7870315 1.0122909
0.8062274 1.0113546
0.8258915 1.0100895
0.8460352 1.0087935
0.8666702 1.0075880
0.8878085 1.0063828
0.9094624 1.0053158
0.9316444 1.0044440
0.9543674 1.0036589
0.9776447 1.0033192
1.0014900 1.0030163
1.0259160 1.0033990
1.0509390 1.0038141
1.0765710 1.0048477
1.1370730 1.0075313
1.1648070 1.0089956
1.1932170 1.0106419
1.2223190 1.0127768
1.2521320 1.0151460
1.2826720 1.0181388
1.3139570 1.0215455
1.3460040 1.0254688
1.3788340 1.0304787
1.4124640 1.0360436
1.4469140 1.0422527
1.4822050 1.0489406
1.5183560 1.0557226
1.5553890 1.0626213
1.5933250 1.0699981
1.6321870 1.0774543
1.6800000 1.0865772
1.7209760 1.0944472
1.7629510 1.1026518
1.8059490 1.1112247
1.8499970 1.1199132
1.8951190 1.1284432
1.9413410 1.1370521
1.9886910 1.1464164
2.0371960 1.1561517
2.0868830 1.1665497
2.1377830 1.1770361
2.1899240 1.1866350
2.2433370 1.1944942
2.2980520 1.2027147
2.3541020 1.2086951
2.4115200 1.2132517
2.4891430 1.2206873
2.5602610 1.2363542
2.6334120 1.2195490
2.7086520 1.0114882
2.7860420 1.0592000
2.8656430 1.1510283
2.9475190 1.1667332
3.0317330 1.1586148
3.1183540 1.1893413
3.2074500 1.2599925
3.2990920 1.2351333
3.3933510 1.2361927
3.4903040 1.2428063
3.5900270 1.2887815
3.6926000 1.3014035
3.7981020 1.3021987
3.8547270 1.2989054
3.8897700 1.2985938
3.9251320 1.3085310
3.9608150 1.3279281
3.9968220 1.3140765
4.0331570 1.3140765
4.0698220 1.3140765
4.1068200 1.3140765
4.1441550 1.3140765
4.1818290 1.3140765
4.2198460 1.3140765
4.2582080 1.3140765
4.2969190 1.3140765
4.3359820 1.3140765
4.3754000 1.3140765
4.4151760 1.3140765
4.4540000 1.3140765
4.4882620 1.3140765
4.5227870 1.3140765
4.5575770 1.3140765
4.5926360 1.3140765
4.6279640 1.3140765
4.6635630 1.3140765
4.6994370 1.3140765
4.7355860 1.3140765
4.7720140 1.3140765
4.8087220 1.3140765
4.8457120 1.3140765
4.8829870 1.3140765
4.9205480 1.3140765
4.9583980 1.3140765
4.9965400 1.3140765
