wavelength reflectivity
0.7500000 1.0000000
0.7682927 1.0000000
0.7870315 1.0000000
0.8062274 1.0000000
0.8258915 1.0000000
0.8460352 1.0000000
0.8666702 1.0000000
0.8878085 1.0000000
0.9094624 1.0000000
0.9316444 1.0000000
0.9543674 1.0000000
0.9776447 1.0000000
1.0014900 1.0000000
1.0259160 1.0000000
1.0509390 1.0000000
1.0765710 1.0000000
1.1370730 1.0000000
1.1648070 1.0000000
1.1932170 1.0000000
1.2223190 1.0000000
1.2521320 1.0000000
1.2826720 1.0000000
1.3139570 1.0000000
1.3460040 1.0000000
1.3788340 1.0000000
1.4124640 1.0000000
1.4469140 1.0000000
1.4822050 1.0000000
1.5183560 1.0000000
1.5553890 1.0000000
1.5933250 1.0000000
1.6321870 1.0000000
1.6800000 1.0000000
1.7209760 1.0000000
1.7629510 1.0000000
1.8059490 1.0000000
1.8499970 1.0000000
1.8951190 1.0000000
1.9413410 1.0000000
1.9886910 1.0000000
2.0371960 1.0000000
2.0868830 1.0000000
2.1377830 1.0000000
2.1899240 1.0000000
2.2433370 1.0000000
2.2980520 1.0000000
2.3541020 1.0000000
2.4115200 1.0000000
2.4891430 1.0000000
2.5602610 1.0000000
2.6334120 1.0000000
2.7086520 1.0000000
2.7860420 1.0000000
2.8656430 1.0000000
2.9475190 1.0000000
3.0317330 1.0000000
3.1183540 1.0000000
3.2074500 1.0000000
3.2990920 1.0000000
3.3933510 1.0000000
3.4903040 1.0000000
3.5900270 1.0000000
3.6926000 1.0000000
3.7981020 1.0000000
3.8547270 1.0000000
3.8897700 1.0000000
3.9251320 1.0000000
3.9608150 1.0000000
3.9968220 1.0000000
4.0331570 1.0000000
4.0698220 1.0000000
4.1068200 1.0000000
4.1441550 1.0000000
4.1818290 1.0000000
4.2198460 1.0000000
4.2582080 1.0000000
4.2969190 1.0000000
4.3359820 1.0000000
4.3754000 1.0000000
4.4151760 1.0000000
4.4540000 1.0000000
4.4882620 1.0000000
4.5227870 1.0000000
4.5575770 1.0000000
4.5926360 1.0000000
4.6279640 1.0000000
4.6635630 1.0000000
4.6994370 1.0000000
4.7355860 1.0000000
4.7720140 1.0000000
4.8087220 1.0000000
4.8457120 1.0000000
4.8829870 1.0000000
4.9205480 1.0000000
4.9583980 1.0000000
4.9965400 1.0000000
