wavelength reflectivity
0.7500000 1.1174351
0.7682927 1.1255613
0.7870315 1.1266034
0.8062274 1.1092840
0.8258915 1.1408818
0.8460352 1.1364308
0.8666702 1.1477595
0.8878085 1.1468036
0.9094624 1.1596959
0.9316444 1.1623658
0.9543674 1.1725943
0.9776447 1.1870967
1.0014900 1.1869066
1.0259160 1.1977680
1.0509390 1.2153013
1.0765710 1.2135836
1.1370730 1.2246176
1.1648070 1.2437877
1.1932170 1.2562483
1.2223190 1.2600047
1.2521320 1.2606647
1.2826720 1.2721232
1.3139570 1.2736636
1.3460040 1.2331061
1.3788340 1.2546737
1.4124640 1.2733740
1.4469140 1.2914407
1.4822050 1.3040070
1.5183560 1.3084717
1.5553890 1.3246309
1.5933250 1.3130246
1.6321870 1.3329456
1.6800000 1.3411815
1.7209760 1.3416923
1.7629510 1.3550004
1.8059490 1.3414975
1.8499970 1.3482395
1.8951190 1.3568248
1.9413410 1.3834982
1.9886910 1.3918846
2.0371960 1.4017144
2.0868830 1.4149707
2.1377830 1.4276955
2.1899240 1.4418048
2.2433370 1.4495548
2.2980520 1.4534188
2.3541020 1.4716136
2.4115200 1.4786884
2.4891430 1.5080353
2.5602610 1.5085328
2.6334120 1.5083952
2.7086520 1.5102004
2.7860420 1.5115602
2.8656430 1.5129590
2.9475190 1.5143977
3.0317330 1.5158774
3.1183540 1.5173995
3.2074500 1.5189651
3.2990920 1.5205754
3.3933510 1.5222317
3.4903040 1.5239353
3.5900270 1.5256876
3.6926000 1.5274900
3.7981020 1.5293438
3.8547270 1.5303388
3.8897700 1.5309546
3.9251320 1.5315759
3.9608150 1.5322029
3.9968220 1.5328356
4.0331570 1.5334741
4.0698220 1.5341184
4.1068200 1.5347685
4.1441550 1.5354245
4.1818290 1.5360865
4.2198460 1.5367545
4.2582080 1.5374286
4.2969190 1.5381088
4.3359820 1.5387952
4.3754000 1.5394879
4.4151760 1.5401868
4.4540000 1.5408690
4.4882620 1.5414710
4.5227870 1.5420777
4.5575770 1.5426890
4.5926360 1.5433051
4.6279640 1.5439258
4.6635630 1.5445514
4.6994370 1.5451817
4.7355860 1.5458169
4.7720140 1.5464570
4.8087220 1.5471021
4.8457120 1.5477520
4.8829870 1.5484070
4.9205480 1.5490670
4.9583980 1.5497321
4.9965400 1.5504023
