wavelength reflectivity
0.7500000 1.2955363
0.7682927 1.3122163
0.7870315 1.3328935
0.8062274 1.3618079
0.8258915 1.3874338
0.8460352 1.4153209
0.8666702 1.4371875
0.8878085 1.4598472
0.9094624 1.4821489
0.9316444 1.5005193
0.9543674 1.5336146
0.9776447 1.5628748
1.0014900 1.6007323
1.0259160 1.6219448
1.0509390 1.6495215
1.0765710 1.6729705
1.1370730 1.7277698
1.1648070 1.7638661
1.1932170 1.7870371
1.2223190 1.8111778
1.2521320 1.8447929
1.2826720 1.8598122
1.3139570 1.8910242
1.3460040 1.8850547
1.3788340 1.9368957
1.4124640 1.9572213
1.4469140 1.9838290
1.4822050 2.0042901
1.5183560 2.0252513
1.5553890 2.0521393
1.5933250 2.0650533
1.6321870 2.0878024
1.6800000 2.1146662
1.7209760 2.1359142
1.7629510 2.1561193
1.8059490 2.1604244
1.8499970 2.1749523
1.8951190 2.1842241
1.9413410 2.2395414
1.9886910 2.2464081
2.0371960 2.2664013
2.0868830 2.2896132
2.1377830 2.3061393
2.1899240 2.3196215
2.2433370 2.3423608
2.2980520 2.3678143
2.3541020 2.3801909
2.4115200 2.4023620
2.4891430 2.4127707
2.5602610 2.4299546
2.6334120 2.4523864
2.7086520 2.4694397
2.7860420 2.4877051
2.8656430 2.5058518
2.9475190 2.5238683
3.0317330 2.5416529
3.1183540 2.5592239
3.2074500 2.5764591
3.2990920 2.5933109
3.3933510 2.6097352
3.4903040 2.6256487
3.5900270 2.6409627
3.6926000 2.6555834
3.7981020 2.6694116
3.8547270 2.6763179
3.8897700 2.6804188
3.9251320 2.6844013
3.9608150 2.6883104
3.9968220 2.6921012
4.0331570 2.6957510
4.0698220 2.6993117
4.1068200 2.7027682
4.1441550 2.7060426
4.1818290 2.7092114
4.2198460 2.7122686
4.2582080 2.7151624
4.2969190 2.7178936
4.3359820 2.7204955
4.3754000 2.7229614
4.4151760 2.7252363
4.4540000 2.7272668
4.4882620 2.7289374
4.5227870 2.7304872
4.5575770 2.7318655
4.5926360 2.7331462
4.6279640 2.7342935
4.6635630 2.7352577
4.6994370 2.7361100
4.7355860 2.7368312
4.7720140 2.7373853
4.8087220 2.7377569
4.8457120 2.7379358
4.8829870 2.7378745
4.9205480 2.7377573
4.9583980 2.7376387
4.9965400 2.7375845
