wavelength reflectivity
0.7500000 1.1799744
0.7682927 1.1713627
0.7870315 1.1625411
0.8062274 1.1516857
0.8258915 1.1366859
0.8460352 1.1213204
0.8666702 1.1086320
0.8878085 1.0963777
0.9094624 1.0886002
0.9316444 1.0869363
0.9543674 1.0876945
0.9776447 1.0990738
1.0014900 1.1112166
1.0259160 1.1311230
1.0509390 1.1515652
1.0765710 1.1738023
1.1370730 1.2228654
1.1648070 1.2431237
1.1932170 1.2627670
1.2223190 1.2812614
1.2521320 1.2995259
1.2826720 1.3159079
1.3139570 1.3322717
1.3460040 1.3485029
1.3788340 1.3649855
1.4124640 1.3807102
1.4469140 1.3948371
1.4822050 1.4039819
1.5183560 1.4093078
1.5553890 1.4103400
1.5933250 1.4058089
1.6321870 1.3962904
1.6800000 1.3813730
1.7209760 1.3678727
1.7629510 1.3552359
1.8059490 1.3448506
1.8499970 1.3371171
1.8951190 1.3326509
1.9413410 1.3310577
1.9886910 1.3334208
2.0371960 1.3398152
2.0868830 1.3497165
2.1377830 1.3610538
2.1899240 1.3712306
2.2433370 1.3793652
2.2980520 1.3852270
2.3541020 1.3896041
2.4115200 1.3965023
2.4891430 1.4071269
2.5602610 1.4238432
2.6334120 1.4404487
2.7086520 1.4455973
2.7860420 1.4693622
2.8656430 1.5077988
2.9475190 1.5141786
3.0317330 1.5152024
3.1183540 1.5303770
3.2074500 1.5624940
3.2990920 1.5565955
3.3933510 1.5668680
3.4903040 1.5536160
3.5900270 1.5757730
3.6926000 1.5627988
3.7981020 1.5895122
3.8547270 1.5534788
3.8897700 1.5574852
3.9251320 1.5847691
3.9608150 1.6021571
3.9968220 1.5780283
4.0331570 1.5770690
4.0698220 1.5770690
4.1068200 1.5770690
4.1441550 1.5770690
4.1818290 1.5770690
4.2198460 1.5770690
4.2582080 1.5770690
4.2969190 1.5770690
4.3359820 1.5770690
4.3754000 1.5770690
4.4151760 1.5770690
4.4540000 1.5770690
4.4882620 1.5770690
4.5227870 1.5770690
4.5575770 1.5770690
4.5926360 1.5770690
4.6279640 1.5770690
4.6635630 1.5770690
4.6994370 1.5770690
4.7355860 1.5770690
4.7720140 1.5770690
4.8087220 1.5770690
4.8457120 1.5770690
4.8829870 1.5770690
4.9205480 1.5770690
4.9583980 1.5770690
4.9965400 1.5770690
