wavelength reflectivity
0.7500000 1.1681329
0.7682927 1.1240317
0.7870315 1.0788550
0.8062274 1.0280874
0.8258915 0.9665053
0.8460352 0.9034212
0.8666702 0.8546660
0.8878085 0.8085874
0.9094624 0.7834171
0.9316444 0.7867118
0.9543674 0.8004703
0.9776447 0.8592691
1.0014900 0.9211566
1.0259160 1.0099693
1.0509390 1.1007484
1.0765710 1.1883704
1.1370730 1.3598322
1.1648070 1.4139359
1.1932170 1.4566145
1.2223190 1.4889557
1.2521320 1.5182457
1.2826720 1.5442709
1.3139570 1.5680648
1.3460040 1.5887930
1.3788340 1.5973461
1.4124640 1.5965348
1.4469140 1.5821831
1.4822050 1.5480213
1.5183560 1.5025029
1.5553890 1.4457999
1.5933250 1.3785745
1.6321870 1.3072457
1.6800000 1.2229058
1.7209760 1.1580517
1.7629510 1.1009355
1.8059490 1.0536754
1.8499970 1.0173055
1.8951190 0.9953577
1.9413410 0.9871593
1.9886910 0.9952054
2.0371960 1.0212718
2.0868830 1.0659529
2.1377830 1.1264476
2.1899240 1.1968044
2.2433370 1.2703843
2.2980520 1.3472802
2.3541020 1.4209702
2.4115200 1.4840227
2.4891430 1.5297424
2.5602610 1.5597954
2.6334120 1.5742047
2.7086520 1.5798313
2.7860420 1.6058030
2.8656430 1.6478087
2.9475190 1.6547809
3.0317330 1.6558998
3.1183540 1.6724834
3.2074500 1.7075827
3.2990920 1.7011366
3.3933510 1.7123629
3.4903040 1.6978804
3.5900270 1.7220948
3.6926000 1.7079158
3.7981020 1.7371098
3.8547270 1.6977304
3.8897700 1.7021088
3.9251320 1.7319262
3.9608150 1.7509288
3.9968220 1.7245595
4.0331570 1.7235111
4.0698220 1.7235111
4.1068200 1.7235111
4.1441550 1.7235111
4.1818290 1.7235111
4.2198460 1.7235111
4.2582080 1.7235111
4.2969190 1.7235111
4.3359820 1.7235111
4.3754000 1.7235111
4.4151760 1.7235111
4.4540000 1.7235111
4.4882620 1.7235111
4.5227870 1.7235111
4.5575770 1.7235111
4.5926360 1.7235111
4.6279640 1.7235111
4.6635630 1.7235111
4.6994370 1.7235111
4.7355860 1.7235111
4.7720140 1.7235111
4.8087220 1.7235111
4.8457120 1.7235111
4.8829870 1.7235111
4.9205480 1.7235111
4.9583980 1.7235111
4.9965400 1.7235111
